,Unnamed: 0,da0_area_max,da0_area_min,da0_slope_max,da0_slope_min,da0_peak_max,da0_peak_min,da1_area_max,da1_area_min,da1_slope_max,da1_slope_min,da1_peak_max,da1_peak_min,da2_area_max,da2_area_min,da2_slope_max,da2_slope_min,da2_peak_max,da2_peak_min,da3_area_max,da3_area_min,da3_slope_max,da3_slope_min,da3_peak_max,da3_peak_min,da4_area_max,da4_area_min,da4_slope_max,da4_slope_min,da4_peak_max,da4_peak_min,da5_area_max,da5_area_min,da5_slope_max,da5_slope_min,da5_peak_max,da5_peak_min,da6_area_max,da6_area_min,da6_slope_max,da6_slope_min,da6_peak_max,da6_peak_min,da7_area_max,da7_area_min,da7_slope_max,da7_slope_min,da7_peak_max,da7_peak_min,da8_area_max,da8_area_min,da8_slope_max,da8_slope_min,da8_peak_max,da8_peak_min,da9_area_max,da9_area_min,da9_slope_max,da9_slope_min,da9_peak_max,da9_peak_min,da10_area_max,da10_area_min,da10_slope_max,da10_slope_min,da10_peak_max,da10_peak_min,da11_area_max,da11_area_min,da11_slope_max,da11_slope_min,da11_peak_max,da11_peak_min,target
2881,2881,0.212684063,-0.9201834,0.087308519,-0.097066979,0.21469096,-0.097692917,0.510054109,-0.854927197,0.0,-0.073433412,0.282462168,-0.199486021,1.997375944,-0.101002511,0.0,-0.073478916,0.230109341,-0.35122645,0.367112509,-0.237515971,0.0,-0.011383218,0.102184647,-0.028090541,0.648285148,-3.552887678,0.057075091,-0.074286987,0.439577312,-0.140236664,0.755898342,-1.005841272,0.08990235,-0.105483577,0.264526602,-0.241288256,0.268996776,-0.079034655,0.017452748,-0.004879122,0.060753826,-0.049303708,0.074850097,-0.061521882,0.014742505,-0.003033214,0.025611648,-0.043271937,0.185320092,-0.079199243,0.013226794,-0.000557752,0.032659928,-0.050637809,0.473496241,-0.120626042,0.0,-0.023319314,0.072268795,-0.058638027,0.098797959,-0.062162752,0.056483603,-0.089133646,0.107321946,-0.109179625,0.497286684,-0.274601912,0.041173042,-0.080084402,0.05617721,-0.212243162,0
1002,1002,1.860907645,-0.191017228,0.045268498,-0.04010081,0.218149646,-0.103919864,2.181189713,-0.653050884,0.05562083,-0.045728482,0.319902868,-0.064738846,2.35844245,-1.01916726,0.022700206,-0.075775782,0.458526071,-0.110119163,0.992923128,-0.523256235,0.05894746,-0.039537347,0.195019784,-0.084169688,2.065245085,-1.381306372,0.031617892,-0.070861447,0.274833439,-0.22943577,2.381928825,-0.454151522,0.030358758,-0.072479356,0.522511034,0.0,2.819403901,-1.367562057,0.017490394,-0.052817025,0.520852184,-0.204842801,1.475541389,-1.002410783,0.044323746,-0.038678602,0.28097257,-0.070554811,1.238997646,-1.13417507,0.017315497,-0.018694118,0.248664621,-0.135746361,0.764483601,-1.123073058,0.088537164,-0.02615712,0.229189367,-0.337112718,2.240066292,-0.388888295,0.017001696,-0.035987576,0.43012778,0.0,0.609073682,-5.027470588,0.005500344,-0.032508799,0.598668786,-0.136950233,0
3090,3090,2.337718956,-0.265842355,0.10902215,-0.118212511,0.360954458,-0.167444671,1.929671406,-0.083280061,0.029753699,-0.017250639,0.268530455,-0.086223325,1.919092719,-1.141668104,0.034222751,-0.008174406,0.290553137,-0.228580761,0.878540111,-0.543417027,0.062478544,-0.085372687,0.224700785,-0.218418027,2.084107137,-0.249735512,0.039163499,-0.007441789,0.276685345,-0.0931083,1.881043444,-1.238392653,0.032542726,-0.01242823,0.286637631,-0.246832337,0.374208301,-0.261836677,0.023979324,-0.060510084,0.0,-0.254808924,0.169819196,-0.458919083,0.04928258,-0.080853278,0.0,-0.355539033,0.13265042,-0.425866639,0.05232175,-0.095878545,0.0,-0.392848946,0.092948283,-0.29831225,0.017959597,-0.002744832,0.0,-0.125726025,0.107612423,-0.26016513,0.028023247,-0.006033965,0.0,-0.149772436,0.569140763,-0.200398016,0.031547817,-0.011072034,0.043078368,-0.136634812,0
3419,3419,0.610917917,-0.013615593,0.022980585,-0.0314276,0.079196075,-0.037839241,0.863308555,-0.13691366,0.009481847,-0.030771435,0.132204359,-0.036075839,2.400277295,-0.295902653,0.033315309,-0.054490204,0.404806975,-0.069691458,0.475831723,-0.402773201,0.015878803,-0.018110034,0.0,-0.160502156,0.37634516,-0.299425106,0.036997413,-0.044491633,0.160949612,-0.015679354,2.032839128,-1.138508683,0.047131108,-0.030959223,0.175391223,-0.292042756,0.002960879,-1.199927034,0.007773998,-0.023265326,0.012916056,-0.190386607,0.6254429,-0.54009687,0.019171929,-0.121541251,0.206694685,-0.123903943,0.648392333,-0.627770192,0.00273306,-0.138194742,0.238416847,-0.143469069,0.7366108,-0.65745597,0.001587092,-0.035629765,0.009760705,-0.305634768,1.035850386,-0.093982,0.004892602,-0.030029556,0.031347322,-0.215617909,0.694367581,-0.556205349,0.058146675,-0.055249686,0.102314318,-0.137833244,0
2719,2719,0.157346289,-0.155868674,0.01555972,-0.003983304,0.01298401,-0.07139776,0.064083017,-0.123206046,0.020472648,-0.005307926,0.016226451,-0.072702567,0.160213778,-0.362151733,0.031510849,-0.00612822,0.055639721,-0.103245265,0.329065899,-0.16453295,0.066790522,-0.029844002,0.128646163,-0.183513603,0.0,-2.096682661,0.08534733,-0.068964915,0.346050154,-0.047738653,0.114891643,-0.097356919,0.021773232,-0.004569161,0.022337293,-0.072396196,0.423642128,-0.06787979,0.022596021,-0.010184821,0.093191297,-0.014591529,0.465086327,-0.492505816,0.017042004,-0.010843236,0.129092386,-0.064052564,0.535871767,-0.150845553,0.015318833,-0.004564293,0.085932756,-0.042651383,0.448476817,-0.116154315,0.014113672,-0.004479692,0.071774502,-0.040393474,0.378485745,-0.14425787,0.014562858,-0.00339713,0.064616897,-0.039288317,0.330869819,-0.125446041,0.013425669,-0.003252654,0.055538918,-0.043892642,0
2181,2181,0.029889175,-0.03878152,0.00267704,-0.007307483,0.002945293,-0.021169377,0.023096416,-0.101676628,0.002740601,-0.010569664,0.016850561,-0.031277146,0.703419145,-0.074409788,0.041139515,-0.019949783,0.046151976,-0.19650855,0.0,-0.447568945,0.0,-0.011344158,0.0,-0.083608744,0.04567119,-0.12538162,0.061027785,-0.045387944,0.141453512,-0.010628288,0.048564797,-0.033793495,0.025874695,-0.011816479,0.02316129,-0.035193713,0.292365617,-0.225360475,0.004486956,-0.017820504,0.0,-0.149470527,0.683502503,-0.870198002,0.036523275,-0.049822035,0.073411752,-0.184335776,0.146173736,-0.18816451,0.027355843,-0.027398696,0.047033478,-0.097517155,0.129537403,-0.15934289,0.023354099,-0.024552333,0.037910783,-0.035468128,0.053569533,-0.097654814,0.020031041,-0.027400872,0.025766818,-0.054689838,2.276848837,-0.497554983,0.045633601,-0.065390992,0.32958158,-0.152748432,0
2901,2901,0.144263575,-2.919861212,0.139413748,-0.076389732,0.509744504,-0.061548026,0.19827252,-0.291829405,0.01825884,-0.064362806,0.214724284,-0.12728596,0.276448912,-0.058018251,0.073325856,-0.005125718,0.106382261,-0.280754294,3.629809521,-0.120776023,0.068627792,-0.082397739,0.451568349,-0.242353014,1.382049454,-0.043179007,0.030809514,-0.026236921,0.14530942,-0.127599049,0.241774277,-0.068961653,0.033872198,-0.019430266,0.016994956,-0.086870781,0.704963936,-1.05556293,0.055707085,-0.079855519,0.248791897,-0.119896218,0.164305671,-0.50059647,0.023122419,-0.012009807,0.124187759,-0.041235915,1.039554427,-2.250455145,0.036046839,-0.029993027,0.338794717,-0.211456564,0.688644005,-3.230566123,0.147733306,-0.103845134,0.55545154,-0.032192193,0.784054681,-0.238872219,0.107785376,-0.082879963,0.336271169,-0.007619986,1.335462606,-1.295980019,0.081306416,-0.089520987,0.379819205,-0.162987092,0
2380,2380,0.873265212,-0.78502283,0.079028185,-0.039328203,0.310031008,-0.076214373,0.286997554,-0.902927534,0.004319582,-0.03568811,0.171352467,-0.028008965,1.630469281,-2.800276131,0.06459645,-0.061634715,0.165679152,-0.498073637,0.567006381,-0.362830968,0.031518415,0.0,0.0505245,-0.210429862,1.400530546,-1.398638962,0.09071601,-0.04524067,0.203241597,-0.280118078,1.586909509,-3.173819018,0.025540115,-0.052637341,0.199789457,-0.452882903,0.229321695,-0.548424539,0.023609416,-0.053037578,0.145886824,-0.081007562,0.343406297,-1.510024702,0.02526822,-0.030466939,0.149906166,-0.149544517,0.750504201,-1.394302742,0.032071181,-0.015959107,0.034775888,-0.306602452,1.782523297,-1.626543924,0.027555246,-0.015577398,0.176426268,-0.332033105,0.802106845,-3.499847529,0.023062465,-0.034105106,0.14159596,-0.457580543,0.0,-1.430024927,0.034312398,-0.030336544,0.242802961,-0.016891695,0
1582,1582,3.143888235,-1.58310927,0.032457819,-0.085725698,0.642479719,-0.144540075,0.497112492,-0.582624572,0.097518876,-0.119274354,0.429977263,0.0,0.882290713,-0.668286264,0.101595386,-0.134350983,0.36874234,-0.081496721,0.922007075,-0.239020751,0.128674908,-0.088964666,0.346159429,-0.269863506,1.290144608,-0.691037404,0.104097194,-0.154227035,0.283539851,-0.271195383,0.662484736,-0.62198326,0.100267783,-0.126214908,0.405204884,-0.005237843,0.417074996,-0.858890376,0.031315836,-0.059899336,0.07669169,-0.201760324,0.094953377,-0.295680273,0.010730847,-0.02989531,0.055721267,-0.036260091,0.627160711,-0.240101056,0.022148527,-0.02728477,0.083442373,-0.069007229,0.425503084,-0.123204149,0.021944192,-0.003430141,0.039266603,-0.11798458,0.203041669,-0.264013319,0.11716079,-0.095899957,0.433860244,0.0,0.745219744,-0.388944621,0.049898015,-0.080613952,0.441169764,0.0,0
645,645,3.893552801,-0.293559905,0.048104937,-0.019709719,0.468529941,-0.093608154,0.0,-3.06574937,0.030412482,-0.013971498,0.0,-0.398062416,1.377238322,-1.933073964,0.015047644,-0.034376261,0.026814713,-0.436930111,0.164586951,-2.437486664,0.027229043,-0.016215102,0.046302768,-0.323745628,0.579165559,-0.82592298,0.012591748,-0.010823317,0.143531784,-0.060992375,0.0,-3.345597414,0.018590286,-0.034049154,0.0,-0.440070886,0.272820477,-0.736859055,0.025350139,-0.03620864,0.029058536,-0.161428825,0.53439328,-0.258712244,0.010582289,-0.019459846,0.09161973,-0.076121478,2.793645497,-0.821299603,0.014770102,-0.0420525,0.544186089,-0.022837696,0.004500726,-2.734374734,0.046190641,-0.053099742,0.06712848,-0.365456032,0.0,-2.931939027,0.026511442,-0.025702902,0.0,-0.37617042,2.213224272,-0.268656264,0.004886178,-0.020603434,0.479250346,0.0,0
283,283,1.058325939,-0.956644363,0.007198668,-0.074307566,0.0,-0.42997346,1.743732885,-0.680101976,0.010601935,-0.060164363,0.137588669,-0.261498519,1.364284043,-1.30063864,0.029411657,-0.044416509,0.084400941,-0.35733169,0.980275669,-0.352391634,0.102355782,-0.021098054,0.213492487,-0.373624526,0.373104754,0.0,0.007140132,-0.001292933,0.004768935,-0.059154714,1.532392639,-1.131181938,0.020574125,-0.044250561,0.100425284,-0.348656635,0.039578088,-0.297335275,0.022759185,-0.011116666,0.009142931,-0.086375543,0.266970781,-0.277394994,0.007699283,-0.004666104,0.025147425,-0.066038576,0.289749567,-0.428706718,0.011853018,-0.008002975,0.032816566,-0.096891063,0.09142691,-0.843455841,0.026659391,-0.061890377,0.0,-0.379133844,2.299056033,-0.074277681,0.046122181,-0.077952304,0.168062167,-0.323659335,0.082488059,-0.223484469,0.002676341,-0.00404826,0.017643458,-0.035777188,0
3619,3619,1.142340315,-1.129748436,0.013813343,-0.046734099,0.198807252,-0.209507469,0.270336821,-3.951764331,0.025342467,-0.043419686,0.442829828,-0.21703066,2.202072802,-0.963972575,0.041248725,-0.055772147,0.326535783,-0.114974808,1.789485583,-1.926514089,0.029749512,-0.046926481,0.384385496,-0.237442707,0.359872294,-0.83964369,0.033423782,-0.050842291,0.061598469,-0.185233516,1.052697584,-2.738143726,0.023146898,-0.047032747,0.392419888,-0.240740137,2.801271316,-1.174745996,0.066274153,-0.025688172,0.395174161,-0.339676307,0.301201579,-0.602403159,0.010370325,-0.025048961,0.157611158,-0.044356148,0.68835745,-0.402713412,0.013251495,-0.033579464,0.256469572,-0.022433202,0.787606411,-1.277738715,0.011719245,-0.03571777,0.232455438,-0.148900122,0.253036513,-1.661415195,0.085175644,-0.099265496,0.339814704,-0.091731286,0.245357679,-0.892572523,0.038109228,-0.078206925,0.205269202,-0.081308246,2
3950,3950,1.277786876,-0.210537418,0.048806268,-0.07975104,0.25795572,-0.165378193,0.196143402,-0.27307185,0.021055077,-0.006445272,0.017103579,-0.11251057,0.240918693,-0.094797376,0.021685732,-0.003673605,0.045824282,-0.057421758,0.411727534,-0.694203588,0.08328366,-0.06920127,0.183870107,-0.083691095,0.278341258,-0.374560809,0.022378288,-0.004044277,0.064018946,-0.081442892,0.223419149,-0.100240582,0.020882477,-0.004625804,0.029187758,-0.073399513,0.084491757,-0.691471595,0.046398072,-0.074046539,0.0,-0.355188317,0.249653297,-0.990773072,0.049653986,-0.094967184,0.0,-0.461488947,0.266205606,-1.133402974,0.046635321,-0.09376069,0.0,-0.486658989,0.507511556,-0.652545977,0.03342207,-0.067194598,0.0,-0.328672479,1.314847836,-0.160483566,0.03991521,-0.061724233,0.169138067,-0.180860704,1.241120953,-0.090345582,0.068683477,-0.066920432,0.26697168,-0.060386063,3
1570,1570,0.439123316,-3.054862686,0.053516051,-0.058681838,0.254240884,-0.316827387,1.553196311,-3.465960718,0.023250692,-0.033951675,0.531783607,-0.215138577,0.935449817,-1.746624022,0.01754193,-0.049659779,0.331748464,-0.154319753,1.650402985,-1.789249453,0.037205589,-0.050876069,0.320332908,-0.215712461,0.762555025,-2.762047977,0.031835214,-0.036419048,0.351085559,-0.169523975,1.949918552,-2.015799449,0.005177199,-0.047870258,0.401040771,-0.182044696,1.0181938,-3.674763441,0.029670075,-0.04460784,0.594310687,-0.108399509,0.362849881,-0.558517808,0.031275135,-0.055171434,0.056062193,-0.142566762,0.811880457,-0.797931426,0.03696422,-0.057288721,0.150344563,-0.140943979,2.034338319,-1.64402639,0.018612753,-0.032890205,0.379985677,-0.144748292,0.0,-2.903657296,0.006794053,-0.035854262,0.406664973,-0.05348327,2.474029211,-2.121115498,0.028418822,-0.069376087,0.53894174,-0.154774858,0
